File-nr,logatome,SAM"-PA,diphone,language
63,ATACHATTADAU,Qataxata"daU,xa,DE
64,ATEECHADEU,Qa:te:Ca"dOY,e:C,DE
65,DATASCHUHTADEU,dataZu:ta"dOY,Zu:,DE
66,PATATTSCHADAU,patattSa"daU,ttS,DE
67,ADAIWADEU,QadaIva:"daU,aIv,DE
68,ATAWRADEU,QatavRa"dOY,vR,DE
69,ATADITTADAU,QatadIta"daU,dI,DE
70,ADACHADAI,Qadaxa"daI,ax,DE
71,DATUÄHTADEU,datu:E:ta"dOY,u:E:,DE
72,ATATSCHHADEU,QatatSha"dOY,tSh,DE
73,ATTECHBADAI,QatECba:"daI,Cb,DE
74,ATASCHETADEU,QataZ@ta"dOY,Z@,DE
75,TADISSADAI,ta:dIsa"daI,*t,DE
76,ATAFNADEU,Qatafna"dOY,fn,DE
77,ATANSADAI,Qatansa"daI,ns,DE
78,ATAIEDADEU,QataI@da:"daU,aI@,DE
79,ATAJADEU,Qataja:"daU,aj,DE
80,ATASRADEU,QatazRa"dOY,zR,DE
81,ATAGUTTADAU,Qata:gUta"daU,gU,DE
82,DATATOHTADEU,datato:ta"dOY,to:,DE
83,ATIMMADEU,QatIma:"daU,Im,DE
84,ATAITTADAU,QataIta"daU,aI,DE
85,ADAISCHADEU,QadaIZa"dOY,aIZ,DE
86,ATAPFÖTTADAU,Qatapf9ta"daU,pf9,DE
87,ATAMSADAI,Qatamsa"daI,ms,DE
88,PATASCHTSADAU,pataStsa"daU,Sts,DE
89,ADÖH ADAI,Qad2:Qa"daI,2:Q,DE
90,ATAPFLADEU,Qatapfla:"daU,pfl,DE
91,ADÖHBADAI,Qad2:ba:"daI,2:b,DE
92,ADÜCHADAI,QadYCa"daI,YC,DE
93,ATAG ADAI,QatagQa"daI,gQ,DE
94,DATEUÜHTADEU,da:tOYy:ta"dOY,OYy:,DE
95,ATANBADAI,Qatanba:"daI,nb,DE
96,PATEGADAU,pat@ga"daU,@g,DE
97,ATAFÖTTADAU,Qataf9ta"daU,f9,DE
98,PATÜPFADAU,patYpfa:"daU,Ypf,DE
99,ATASCHÖTTADAU,QataZ9ta"daU,Z9,DE
100,ATAW ADAI,QatavQa"daI,vQ,DE
101,ATANGÜTTADAU,QataNYta"daU,NY,DE
102,ADAH ADAI,Qada:Qa"daI,a:Q,DE
103,PATANKADAU,patanka"daU,nk,DE
104,PATEEFADAU,pa:te:fa:"daU,e:f,DE
105,ATANGJADEU,QataNja:"daU,Nj,DE
106,ATATZÜTTADAU,QatatsYta"daU,tsY,DE
107,ADISSADAG,"QadIsadag,g*,DE
108,ADIDDADAI,QadIda"daI,Id,DE
109,PATASPFADAU,pataspfa:"daU,spf,DE
110,DATEEOHTADEU,da:te:o:ta"dOY,e:o:,DE
111,DATUAHTADEU,datu:a:ta"dOY,u:a:,DE
112,ATABHADEU,Qatabha"dOY,bh,DE
113,ATAFSADAI,Qatafsa"daI,fs,DE
114,DATÄUHTADEU,datE:u:ta"dOY,E:u:,DE
115,ATAPFAUTADEU,QatapfaUta"dOY,pfaU,DE
116,PATASFADAU,patasfa:"daU,sf,DE
117,ATATSCHADAI,QatatSa:"daI,tS,DE
118,ATAPAUTADEU,QatapaUta"dOY,paU,DE
119,PATAWPFADAU,patavpfa:"daU,vpf,DE
120,ATTAJETADEU,Qatadj@ta"dOY,j@,DE
121,PATÜHGADAU,paty:ga"daU,y:g,DE
122,PATANTSCHADAU,patantSa:"daU,ntS,DE
123,ATAMUTTADAU,QatamUta"daU,mU,DE
124,ATARRETADEU,QataR@ta"dOY,R@,DE
125,ADISSADDU,"Qa:dIsadU,U*,DE
126,ATABNADEU,Qatabna"dOY,bn,DE
127,ATATZTADAI,Qatatsta"daI,tst,DE
128,PATATTSADAU,patattsa"daU,tts,DE
129,ATAFSCHADAI,QatafZa"daI,fZ,DE
130,ATAJDADAI,Qatajda"daI,jd,DE
131,ATEEUTTADAU,Qa:te:Uta"daU,e:U,DE
132,ATAHNGADEU,QatahNa"dOY,hN,DE
133,ATAPITTADAU,QatapIta"daU,pI,DE
134,ATAÜTTADAU,QataYta"daU,aY,DE
135,ATAWMADEU,Qatavma:"daU,vm,DE
136,ATATZMADEU,Qatatsma:"daU,tsm,DE
137,DATASAHTADEU,da:taza:ta"dOY,za:,DE
138,KADISSADAI,ka:dIsa"daI,*k,DE
139,DATTECHOHTADEU,dat@Co:ta"dOY,Co:,DE
140,ATANPADAI,Qatanpa"daI,np,DE
141,ATAPFAITADEU,QatapfaIta"dOY,pfaI,DE
142,ADÄHSADAI,QadE:za"daI,E:z,DE
143,ATIEERDADEU,Qati:6da:"daU,i:6,DE
144,DATAWAHTADEU,da:tava:ta"dOY,va:,DE
145,ATATSCHJADEU,QatatSja:"daU,tSj,DE
146,ATTER ADAI,Qat6Qa"daI,6Q,DE
147,PATAFFADAU,patafa:"daU,af,DE
148,ATAMMETADEU,Qatam@ta"dOY,m@,DE
149,*FADISADAI,fadIsa"daI,*f,DE
150,ATAIERDADEU,QataI6da:"daU,aI6,DE
151,ADÜHWADAI,Qady:va"daI,y:v,DE
152,DATAKÖHTADEU,da:tak2:ta"dOY,k2:,DE
153,PATIPFADAU,patIpfa:"daU,Ipf,DE
154,ADÖHSCHADAI,Qad2:Sa:"daI,2:S,DE
155,ATÖUTTADAU,Qat2:Uta"daU,2:U,DE
156,ATASOTTADAU,QatazOta"daU,zO,DE
157,DATATÖHTADEU,datat2:ta"dOY,t2:,DE
158,DATADÄHTADEU,da:tadE:ta"dOY,dE:,DE
159,ATANGRADEU,QataNRa:"dEU,NR,DE
160,ATTECHHADEU,QatECha"dOY,Ch,DE
161,ATÜNNADEU,QatYna"dOY,Yn,DE
162,ATA ÖTTADAU,QataQ9ta"daU,Q9,DE
163,ATASEUTADAU,QatasOYta"daU,sOY,DE
164,ATASTADAI,Qatazta"daI,zt,DE
165,APAKLADEU,Qapa:kla:"daU,kl,DE
166,ATAJ ADAI,QatajQa"daI,jQ,DE
167,ATATSCHERTADEU,QatatS6ta"dOY,tS6,DE
168,ATÄHNADEU,QatE:na"dOY,E:n,DE
169,ATAGGERTADEU,Qatag6ta"dOY,g6,DE
170,ATAWCHADAI,Qatavxa"daI,vx,DE
171,ADAHWADAI,Qada:va"daI,a:v,DE
172,ADAHSCHADAI,Qada:Za:"daI,a:Z,DE
173,ATAOTTADAU,QataOta"daU,aO,DE
174,ATIERADEU,Qati:Ra"dEU,i:R,DE
175,ADUTTADEI,QadUta"daI,Ut,DE
176,ATANGLADEU,QataNla:"daU,Nl,DE
177,PATÄHPFADAU,patE:pfa:"daU,E:pf,DE
178,DATÜIEHTADEU,daty:i:ta"dOY,y:i:,DE
179,DATTERÖHTADEU,dat62:ta"dOY,62:,DE
180,ATAWSCHADAI,QatavSa:"daI,vS,DE
181,GADISSADAI,ga:dIsa"daI,*g,DE
182,PATOGGADAU,patOga"daU,Og,DE
183,PATASCHKADAU,pataZka"daU,Zk,DE
184,DATABUHTADEU,da:tabu:ta"dOY,bu:,DE
185,PATAJTSADAU,patajtsa"daU,jts,DE
186,ATAMMADEU,Qatama:"daU,am,DE
187,ADAI ADAU,QadaIQa"daU,aIQ,DE
188,ATALATTADAU,Qatalata"daU,la,DE
189,DATIEAHTADEU,dati:a:ta"dOY,i:a:,DE
190,ATABÖTTADAU,Qatab9ta"daU,b9,DE
191,ATÜHADEU,QatYha"dOY,Yh,DE
192,PATARTSADAU,pataRtsa"daU,Rts,DE
193,ADISSADÖH,"Qa:dIsad2:,2:*,DE
194,DATANÜHTADEU,da:tany:ta"dOY,ny:,DE
195,PATÜGGADAU,patYga"daU,Yg,DE
196,ATASCHMADEU,QataSma:"daU,Sm,DE
197,DATAJÜHTADEU,da:tajy:ta"dOY,jy:,DE
198,ATASCHUTTADAU,QataZUta"daU,ZU,DE
199,DATAWEHTADEU,da:tave:ta"dOY,ve:,DE
200,ATAHATTADAU,Qatahata"daU,ha,DE
201,ADOHSCHADAI,Qado:Sa:"daI,o:S,DE
202,ATAKÖTTADAU,Qatak9ta"daU,k9,DE
203,ATANG ADAI,QataNQa"daI,NQ,DE
204,DATAGEHTADEU,da:ta:ge:ta"dOY,ge:,DE
205,PATASCHTSCHADAU,pataZtSa"daU,ZtS,DE
206,DATALAHTADEU,datala:ta"dOY,la:,DE
207,ADOHSADEI,Qado:za"daI,o:z,DE
208,PATTECHFADAU,patECfa:"daU,Cf,DE
209,PATASCHTSADAU,pataZtsa"daU,Zts,DE
210,ATAHWADAI,Qatahva"daI,hv,DE
211,ATASCHITTADAU,QataSIta"daU,SI,DE
212,DATAAUHTADEU,da:ta:u:ta"dOY,a:u:,DE
213,ATASÄTTADAU,QatasEta"daU,sE,DE
214,ATAFÜTTADAU,QatafYta"daU,fY,DE
215,ATTECHSADAI,Qat@Cza"daI,Cz,DE
216,DATOOÖHTADEU,dto:2:ta"dOY,o:2:,DE
217,ATAFUTTADAU,QatafUta"daU,fU,DE
218,ATAPFHADEU,Qatapfha"dOY,pfh,DE
219,ADÄBBADAI,QadEba:"daI,Eb,DE
220,ATÄHUTTADAU,QatE:Uta"daU,E:U,DE
221,ATEUATTADAU,QatOYata"daU,OYa,DE
222,ADAUSADAI,QadaUsa"daI,aUs,DE
223,ATA ÄTTADAU,Qata:QEta"daU,QE,DE
224,ATATSCH ADAI,QatatSQa"daI,tSQ,DE
225,DATUOHTADEU,datu:o:ta"dOY,u:o:,DE
226,PATAMTSADAU,patamtsa"daU,mts,DE
227,ATAIÜTTADAU,QataIYta"daU,aIY,DE
228,ATOHRADEU,Qato:Ra"doY,o:R,DE
229,ATADSCHADAI,QatadSa"daI,dS,DE
230,PATACHFADAU,pataxfa:"daU,xf,DE
231,ADISSADAP,"Qa:dIsadap,p*,DE
232,ATAPFITTADAU,QatapfIta"daU,pfI,DE
233,ATEURADEU,QatOYRa"dOY,OYR,DE
234,ATADDETADEU,Qatad@ta"dOY,d@,DE
235,ATATZEITADEU,QatatsaIta"dOY,tsaI,DE
236,DATATAHTADEU,datata:ta"dOY,ta:,DE
237,DATALÄHTADEU,datalE:ta"dOY,lE:,DE
238,DATEEAHTADEU,da:te:a:ta"dOY,e:a:,DE
239,DATEUIEHTADEU,da:tOYi:ta"dOY,OYi:,DE
240,ATATSCHAUTADEU,QatatSaUta"dOY,tSaU,DE
241,DATAMÜHTADEU,da:tamy:ta"dOY,my:,DE
242,ATAHCHADEU,Qata:xa"dOY,a:x,DE
243,ATÜJJADEU,QatYja:"daU,Yj,DE
244,PATATGADAU,pata:tga"daU,tg,DE
245,DATASCHIEHTADEU,dataZi:ta"dOY,Zi:,DE
246,ATTECHÜTTADAU,QatECYta"daU,CY,DE
247,PATANTSADAU,patantsa"daU,nts,DE
248,ATAHÜTTADAU,QatahYta"daU,hY,DE
249,ATASCHJADEU,QataSja:"daU,Sj,DE
250,ATTEJADEU,Qat@ja:"daU,@j,DE
251,ATÖLLADEU,Qat9la:"daU,9l,DE
252,DATANGÜHTADEU,dataNy:ta"dOY,Ny:,DE
253,ATÜÖTTADAU,Qaty:9ta"daU,y:9,DE
254,ATALRADEU,QatalRa"dOY,lR,DE
255,ATATEUTADAU,QatatOYta"daU,tOY,DE
256,ATAUJADEU,QataUja:"daU,aUj,DE
257,ATANÜTTADAU,QatanYta"daU,nY,DE
258,ATAPWADAI,Qatapva"daI,pv,DE
259,ADAHTZADAI,Qada:tsa"daI,a:ts,DE
260,ATAPFCHADEU,Qatapfxa"dOY,pfx,DE
261,ATTÖERDADEU,Qat96da:"daU,96,DE
262,ATACHJADEU,Qataxja:"daU,xj,DE
263,ATAPNADEU,Qatapna"dOY,pn,DE
264,DATÄÜHTADEU,datEy:ta"dOY,Ey:,DE
265,ATAJLADEU,Qatajla:"daU,jl,DE
266,ATAJÖTTADAU,Qataj9ta"daU,j9,DE
267,ATAPCHADAI,Qatapxa"daI,px,DE
268,DATAWÜHTADEU,da:tavy:ta"dOY,vy:,DE
269,ATA ÖHTADEU,QataQ2:ta"dOY,Q2:,DE
270,ATÄMMADEU,QatEma:"daU,Em,DE
271,ADIETADAI,Qadi:ta"daI,i:t,DE
272,PATAWGADAU,patavga"daU,vg,DE
273,ATAFMADEU,Qatafma:"daU,fm,DE
274,ATAWUTTADAU,QatavUta"daU,vU,DE
275,ATÖHLADEU,Qat2:la:"daU,2:l,DE
276,ATATRADEU,QatatRa"dOY,tR,DE
277,DATABEHTADEU,da:tabe:ta"dOY,be:,DE
278,ADÄHSADAI,QadE:sa"daI,E:s,DE
279,ATA AITANEU,QataQaIta"nOY,QaI,DE
280,ADATSCHADAI,QadatSa"daI,atS,DE
281,PATOHFADAU,pato:fa:"daU,o:f,DE
282,ADODDADAI,QadOda"daI,Od,DE
283,ATAPFTSADAI,Qatapftsa"daI,pfts,DE
284,DATAEHTADEU,datae:ta"dOY,ae:,DE
285,PATICKADAU,patIka"daU,Ik,DE
286,DATEUOHTADEU,da:tOYo:ta"dOY,OYo:,DE
287,PATARGADAU,pataRga"daU,Rg,DE
288,ATTEHADEU,Qat@ha"dOY,@h,DE
289,APAKSADAI,Qapaksa"daI,ks,DE
290,ADÖTSCHADAI,Qad9tSa"daI,9tS,DE
291,PATAUFADAU,patQaUfQa"daU,aUf,DE
292,DATASCHÖHTADEU,dataZ2:ta"dOY,Z2:,DE
293,ATTERLADEU,Qat6la:"daU,6l,DE
294,ADÄTTADAI,QadEta"daI,Et,DE
295,ADUHSCHADAI,Qadu:Za"daI,u:Z,DE
296,ATAFITTADAU,QatafIta"daU,fI,DE
297,DATASUHTADEU,datasu:ta"dOY,su:,DE
298,ATABDADAI,Qatabda"daI,bd,DE
299,PATÖHPFADAU,pat2:pfa:"daU,2:pf,DE
300,ATTECHEUTADEU,QatECOYta"dOY,COY,DE
301,ATAKPADAI,Qatakpa"daI,kp,DE
302,ATATZPADAI,Qatatspa"daI,tsp,DE
303,ATANOTTADAU,QatanOta"daU,nO,DE
304,ATAJHADEU,Qatajha"dOY,jh,DE
305,ATAPFEUTADEU,QatapfOYta"dOY,pfOY,DE
306,ATAGITTADAU,QatagIta"daU,gI,DE
307,PATAIKADAU,pataIka"daU,aIk,DE
308,ADAWWADAI,Qadava"daI,av,DE
309,ADAIBADAU,QadaIba:"daU,aIb,DE
310,ADEEBADAI,Qade:ba:"daI,e:b,DE
311,DATALIEHTADEU,datali:ta"dOY,li:,DE
312,ATTERÜTTADAU,Qat6Yta"daU,6Y,DE
313,ATAUERTADEU,QataU6ta"dOY,aU6,DE
314,ADOHDADAI,Qado:da"daI,o:d,DE
315,ATAKEUTADAU,Qata:kOYta"daU,kOY,DE
316,ATTECHATTADAU,QatECata"daU,Ca,DE
317,ATANJADEU,Qatanja:"daU,nj,DE
318,ATÖHRADEU,Qat2:Ra"dOY,2:R,DE
319,ADI ADAI,QadIQa"daI,IQ,DE
320,ATACHHADEU,Qataxha"dOY,xh,DE
321,PATALFADAU,patalfa:"daU,lf,DE
322,ATÖHADEU,Qat9ha"dOY,9h,DE
323,PATÖCKADAU,pat9ka"daU,9k,DE
324,PATOHGADAU,pato:ga"daU,o:g,DE
325,ATTÖATTADAU,Qat9ata"daU,9a,DE
326,ATARÜTTADAU,QataRYta"daU,RY,DE
327,ATÖNNADEU,Qat9na"dOY,9n,DE
328,ATEHEDADEU,Qa:te:@da:"daU,e:@,DE
329,ATIENADEU,Qati:na"dOY,i:n,DE
330,ATAFOTTADAU,QatafOta"daU,fO,DE
331,ATAJSCHADAI,QatajSa:"daI,jS,DE
332,PATAGTSADAU,patagtsa"daU,gts,DE
333,ATASWADAI,Qatasva"daI,sv,DE
334,ATAPFETADEU,Qatapf@ta"dOY,pf@,DE
335,ATANGSADAI,QataNza"daI,Nz,DE
336,ATARSADAI,QataRsa"daI,Rs,DE
337,DATAJÄHTADEU,da:tajE:ta"dOY,jE:,DE
338,ATEUOTTADAU,QatOYOta"daU,OYO,DE
339,ADIESCHADAI,Qadi:Za"daI,i:Z,DE
340,ATAJUTTADAU,QatajUta"daU,jU,DE
341,ATA EUTANEU,QataQOYta"nOY,QOY,DE
342,ATAMRADEU,QatamRa"dOY,mR,DE
343,ADISSADATSCH,"Qa:dIsada:tS,tS*,DE
344,APADKADAU,Qapadka"daU,dk,DE
345,ATATATTADAU,Qatatata"daU,ta,DE
346,ADÜHPADAI,Qady:pa"daI,y:p,DE
347,ATATZNADEU,Qatatsna"dOY,tsn,DE
348,DATATZÄHTADEU,datatsE:ta"dOY,tsE:,DE
349,ATACHRADEU,QataxRa"dOY,xR,DE
350,ATAPFBADAI,Qatapfba:"daI,pfb,DE
351,DATAWÄHTADEU,da:tavE:ta"dOY,vE:,DE
352,ATANEITADEU,QatanaIta"dOY,naI,DE
353,ADUTSCHADAI,QadUtSa:"daI,UtS,DE
354,PATOHPFADAU,pato:pfa:"daU,o:pf,DE
355,ATABSADAI,Qatabza"daI,bz,DE
356,ATA ETTANEU,QataQ@ta"nOY,Q@,DE
357,ATTERSADAI,Qat6sa"daI,6s,DE
358,ATADJADEU,Qatadja"dOY,dj,DE
359,PATASCHGADAU,pataSga"daU,Sg,DE
360,MADISADAI,ma:diza"daI,*m,DE
361,ADAISCHADEU,QadaISa:"dOY,aIS,DE
362,ATANGBADAI,QataNba:"daI,Nb,DE
363,ATATSCHLADEU,QatatSla:"daU,tSl,DE
364,ADEUSADAI,QadOYsa"daI,OYs,DE
365,DATAHÄHTADEU,da:tahE:ta"dOY,hE:,DE
366,ADÖHTSCHADAI,Qad2:tSa:"daI,2:tS,DE
367,ADISSADAB,"QadIsadab,b*,DE
368,ADEESCHADAI,Qade:Za"daI,e:Z,DE
369,ATAJRADEU,QatajRa"dOY,jR,DE
370,DATAPFUHTADEU,da:tapfu:ta"dOY,pfu:,DE
371,PATATZPFADAU,patatspfa:"daU,tspf,DE
372,ATANGEITADEU,QataNaIta"dOY,NaI,DE
373,DATACHIEHTADEU,da:taxi:ta"dOY,xi:,DE
374,DATAIOHTADEU,da:taIo:ta"dOY,aIo:,DE
375,ATÄÖTTADAU,QatE9ta"daU,E9,DE
376,ATAPUTTADAU,QatapUta"daU,pU,DE
377,ADIECHADAI,Qadi:Ca"daI,i:C,DE
378,ATASCHITTADAU,QataZIta"daU,ZI,DE
379,DATEUÄHTADEU,da:tOYE:ta"dOY,OYE:,DE
380,ATACHADAI,QatahCa"daI,hC,DE
381,ATASCHÜTTADAU,QataZYta"daU,ZY,DE
382,ATAIHADEU,QataIha"dOY,aIh,DE
383,DATÖUHTADEU,dat2:u:ta"dOY,2:u:,DE
384,ADISSADACH,"Qa:dIsadax,x*,DE
385,ATATÜTTADAU,QatatYta"daU,tY,DE
386,ATATÖTTADAU,Qatat9ta"daU,t9,DE
387,ADUHTADAI,Qadu:ta"daI,u:t,DE
388,DATASÖHTADEU,datas2:ta"dOY,s2:,DE
389,ATAHITTADAU,QatahIta"daU,hI,DE
390,ATAUNADEU,QataUna"dOY,aUn,DE
391,ADÜPPADAI,QadYpa"daI,Yp,DE
392,ATTECHUTTADAU,QatECUta"daU,CU,DE
393,DATASAHTADEU,datasa:ta"dOY,sa:,DE
394,ADAHSADAI,Qada:za"daI,a:z,DE
395,ATIRRADEU,QatIRa"dOY,IR,DE
396,ATAGGETADEU,Qatag@ta"dOY,g@,DE
397,ATUHHADEU,Qatu:ha"dOY,u:h,DE
398,PATÄHGADAU,patE:ga"daU,E:g,DE
399,DATAHOHTADEU,da:taho:ta"dOY,ho:,DE
400,ADÖHDADAI,Qad2:da"daI,2:d,DE
401,ATAUÜTTADAU,QataUYta"daU,aUY,DE
402,ADITZADAI,QadItsa"daI,Its,DE
403,DATAKEHTADEU,da:ta:ke:ta"dOY,ke:,DE
404,DATAMEHTADEU,da:tame:ta"dOY,me:,DE
405,ATTECHSADAI,QatECsa"daI,Cs,DE
406,PATEUGADAU,patOYga"daU,OYg,DE
407,ATAINADEU,QataIna"dOY,aIn,DE
408,ATAB ADAI,QatabQa"daI,bQ,DE
409,DATALÜHTADEU,dataly:ta"dOY,ly:,DE
410,ATABTSCHADAU,QatabtSa"daU,btS,DE
411,CHADISADAI,xadisa"daI,*x,DE
412,ATIEATTADAU,Qati:ata"daU,i:a,DE
413,ATATSCHSADAI,QatatSsa"daI,tSs,DE
414,DATTERÄHTADEU,dat6E:ta"dOY,6E:,DE
415,ATAPFATTADAU,Qatapfata"daU,pfa,DE
416,ATARÖTTADAU,QataR9ta"daU,R9,DE
417,ATACHOTTADAU,QataxOta"daU,xO,DE
418,ATTECHPADAI,QatECpa"daI,Cp,DE
419,APAKHADEU,Qapakha"dOY,kh,DE
420,PATAMGADAU,patamga"daU,mg,DE
421,ATTECHNADEU,QatECna"dOY,Cn,DE
422,ATÄHRADEU,QatE:Ra"dOY,E:R,DE
423,DATIEUHTADEU,dati:u:hta"dOY,i:u:,DE
424,ADÄ ADAI,QadEQa"daI,EQ,DE
425,ATALLETADEU,Qatal@ta"dOY,l@,DE
426,ATABSCHADAI,QatabSa"daI,bS,DE
427,ATÜATTADAU,QatYata"daU,Ya,DE
428,ATARTADAI,QataRta"daI,Rt,DE
429,ATAJCHADAI,QatajCa"daI,jC,DE
430,PATUFFADAU,patUfa:"daU,Uf,DE
431,ATASÜTTADAU,QatasYta"daU,sY,DE
432,DATATZÖHTADEU,datats2:ta"dOY,ts2:,DE
433,ADÜ ADAI,QadYQa"daI,YQ,DE
434,PATAJKADAU,patajka"daU,jk,DE
435,DATAPFÜHTADEU,da:tapfy:ta"dOY,pfy:,DE
436,ATADÜTTADAU,QatadYta"daU,dY,DE
437,ATAROTTADAU,QataROta"daU,RO,DE
438,ATUHNGADEU,Qatu:Na"dOY,u:N,DE
439,ATEEITTADAU,Qate:Ita"daU,e:I,DE
440,DATAJEHTADEU,da:taje:ta"dOY,je:,DE
441,ATATSCHUTTADAU,QatatSUta"daU,tSU,DE
442,ATACHNADEU,Qataxna"dOY,xn,DE
443,ATAJWADAI,Qatajva"daI,jv,DE
444,ATARUTTADAU,QataRUta"daU,RU,DE
445,ATADHADEU,Qatadha"dOY,dh,DE
446,DATAHÜHTADEU,da:tahy:ta"dOY,hy:,DE
447,ADISSADEH,"Qa:dIsade:,e:*,DE
448,ATTEUTTADAU,Qat@Uta"daU,@U,DE
449,ATATITTADAU,QatatIta"daU,tI,DE
450,ATAKAUTADEU,QatakaUta"dOY,kaU,DE
451,ATATHADEU,Qatatha"dOY,th,DE
452,ATAD ADAI,QatadQa"daI,dQ,DE
453,ADUDDADAI,QadUda"daI,Ud,DE
454,ATASITTADAU,QatazIta"daU,zI,DE
455,DATANGIEHTADEU,dataNi:ta"dOY,Ni:,DE
456,ATABCHADEU,Qatabxa"dOY,bx,DE
457,ATAHÄTTADAU,QatahEta"daU,hE,DE
458,ATATZSCHADAI,QatatsZa"daI,tsZ,DE
459,ATTEITTADAU,Qat@Ita"daU,@I,DE
460,DATANUHTADEU,da:tanu:ta"dOY,nu:,DE
461,DATARAHTADEU,dataRa:ta"dOY,Ra:,DE
462,ADOSSADAI,QadOsa"daI,Os,DE
463,ATUÖTTADAU,Qatu:9ta"daU,u:9,DE
464,ADÜBBADAI,QadYba"daI,Yb,DE
465,ATAHNADEU,Qata:na"dOY,a:n,DE
466,ADISSADANG,"Qa:dIsadaN,N*,DE
467,ATAUOTTADAU,QataUOta"daU,aUO,DE
468,ATACHSADAI,Qataxsa"daI,xs,DE
469,ADISSADIEH,"Qa:dIsadi:,i:*,DE
470,SCHADISADAI,Sa:diza"daI,*S,DE
471,ATAIÖTTADAU,QataI9ta"daU,aI9,DE
472,ATÖJJADEU,Qat9ja"dOY,9j,DE
473,ATAREITADEU,QataRaIta"dOY,RaI,DE
474,ADAIPADAU,QadaIpa"daU,aIp,DE
475,ATEENGADEU,Qate:Na"dOY,e:N,DE
476,PATARFADAU,pataRfa"daU,Rf,DE
477,DATAÜHTADEU,da:tay:ta"dOY,ay:,DE
478,DATTECHAHTADEU,da:tECa:ta"dOY,Ca:,DE
479,DATAMÄHTADEU,da:tamE:ta"dOY,mE:,DE
480,ATASCHRADEU,QataSRa"dOY,SR,DE
