File-nr,logatome,SAM-PA,diphone,language
66,PATATTSCHADAU,patattSadaU,ttS,DE
67,ADAIWADEU,QadaIva:daU,aIv,DE
68,ATAWRADEU,QatavRadOY,vR,DE
69,ATADITTADAU,QatadItadaU,dI,DE
70,ADACHADAI,QadaxadaI,ax,DE
71,DATUÄHTADEU,datu:E:tadOY,u:E:,DE
72,ATATSCHHADEU,QatatShadOY,tSh,DE
73,ATTECHBADAI,QatECba:daI,Cb,DE
74,ATASCHETADEU,QataZ@tadOY,Z@,DE
75,TADISSADAI,ta:dIsadaI,*t,DE
76,ATAFNADEU,QatafnadOY,fn,DE
77,ATANSADAI,QatansadaI,ns,DE
78,ATAIEDADEU,QataI@da:daU,aI@,DE
79,ATAJADEU,Qataja:daU,aj,DE
80,ATASRADEU,QatazRadOY,zR,DE
81,ATAGUTTADAU,Qata:gUtadaU,gU,DE
82,DATATOHTADEU,datato:tadOY,to:,DE
83,ATIMMADEU,QatIma:daU,Im,DE
84,ATAITTADAU,QataItadaU,aI,DE
85,ADAISCHADEU,QadaIZadOY,aIZ,DE
86,ATAPFÖTTADAU,Qatapf9tadaU,pf9,DE
87,ATAMSADAI,QatamsadaI,ms,DE
88,PATASCHTSADAU,pataStsadaU,Sts,DE
89,ADÖH ADAI,Qad2:QadaI,2:Q,DE
90,ATAPFLADEU,Qatapfla:daU,pfl,DE
91,ADÖHBADAI,Qad2:ba:daI,2:b,DE
92,ADÜCHADAI,QadYCadaI,YC,DE
93,ATAG ADAI,QatagQadaI,gQ,DE
94,DATEUÜHTADEU,da:tOYy:tadOY,OYy:,DE
95,ATANBADAI,Qatanba:daI,nb,DE
96,PATEGADAU,pat@gadaU,@g,DE
97,ATAFÖTTADAU,Qataf9tadaU,f9,DE
98,PATÜPFADAU,patYpfa:daU,Ypf,DE
99,ATASCHÖTTADAU,QataZ9tadaU,Z9,DE
100,ATAW ADAI,QatavQadaI,vQ,DE
101,ATANGÜTTADAU,QataNYtadaU,NY,DE
102,ADAH ADAI,Qada:QadaI,a:Q,DE
103,PATANKADAU,patankadaU,nk,DE
104,PATEEFADAU,pa:te:fa:daU,e:f,DE
105,ATANGJADEU,QataNja:daU,Nj,DE
106,ATATZÜTTADAU,QatatsYtadaU,tsY,DE
107,ADISSADAG,QadIsadag,g*,DE
108,ADIDDADAI,QadIdadaI,Id,DE
109,PATASPFADAU,pataspfa:daU,spf,DE
110,DATEEOHTADEU,da:te:o:tadOY,e:o:,DE
111,DATUAHTADEU,datu:a:tadOY,u:a:,DE
112,ATABHADEU,QatabhadOY,bh,DE
113,ATAFSADAI,QatafsadaI,fs,DE
114,DATÄUHTADEU,datE:u:tadOY,E:u:,DE
115,ATAPFAUTADEU,QatapfaUtadOY,pfaU,DE
116,PATASFADAU,patasfa:daU,sf,DE
117,ATATSCHADAI,QatatSa:daI,tS,DE
118,ATAPAUTADEU,QatapaUtadOY,paU,DE
119,PATAWPFADAU,patavpfa:daU,vpf,DE
120,ATTAJETADEU,Qatadj@tadOY,j@,DE
121,PATÜHGADAU,paty:gadaU,y:g,DE
122,PATANTSCHADAU,patantSa:daU,ntS,DE
123,ATAMUTTADAU,QatamUtadaU,mU,DE
124,ATARRETADEU,QataR@tadOY,R@,DE
125,ADISSADDU,Qa:dIsadU,U*,DE
126,ATABNADEU,QatabnadOY,bn,DE
127,ATATZTADAI,QatatstadaI,tst,DE
128,PATATTSADAU,patattsadaU,tts,DE
129,ATAFSCHADAI,QatafZadaI,fZ,DE
130,ATAJDADAI,QatajdadaI,jd,DE
131,ATEEUTTADAU,Qa:te:UtadaU,e:U,DE
132,ATAHNGADEU,QatahNadOY,hN,DE
133,ATAPITTADAU,QatapItadaU,pI,DE
134,ATAÜTTADAU,QataYtadaU,aY,DE
135,ATAWMADEU,Qatavma:daU,vm,DE
136,ATATZMADEU,Qatatsma:daU,tsm,DE
137,DATASAHTADEU,da:taza:tadOY,za:,DE
138,KADISSADAI,ka:dIsadaI,*k,DE
139,DATTECHOHTADEU,dat@Co:tadOY,Co:,DE
140,ATANPADAI,QatanpadaI,np,DE
141,ATAPFAITADEU,QatapfaItadOY,pfaI,DE
142,ADÄHSADAI,QadE:zadaI,E:z,DE
143,ATIEERDADEU,Qati:6da:daU,i:6,DE
144,DATAWAHTADEU,da:tava:tadOY,va:,DE
145,ATATSCHJADEU,QatatSja:daU,tSj,DE
146,ATTER ADAI,Qat6QadaI,6Q,DE
147,PATAFFADAU,patafa:daU,af,DE
148,ATAMMETADEU,Qatam@tadOY,m@,DE
149,*FADISADAI,fadIsadaI,*f,DE
150,ATAIERDADEU,QataI6da:daU,aI6,DE
151,ADÜHWADAI,Qady:vadaI,y:v,DE
152,DATAKÖHTADEU,da:tak2:tadOY,k2:,DE
153,PATIPFADAU,patIpfa:daU,Ipf,DE
154,ADÖHSCHADAI,Qad2:Sa:daI,2:S,DE
155,ATÖUTTADAU,Qat2:UtadaU,2:U,DE
156,ATASOTTADAU,QatazOtadaU,zO,DE
157,DATATÖHTADEU,datat2:tadOY,t2:,DE
158,DATADÄHTADEU,da:tadE:tadOY,dE:,DE
159,ATANGRADEU,QataNRa:dEU,NR,DE
160,ATTECHHADEU,QatEChadOY,Ch,DE
161,ATÜNNADEU,QatYnadOY,Yn,DE
162,ATA ÖTTADAU,QataQ9tadaU,Q9,DE
163,ATASEUTADAU,QatasOYtadaU,sOY,DE
164,ATASTADAI,QataztadaI,zt,DE
165,APAKLADEU,Qapa:kla:daU,kl,DE
166,ATAJ ADAI,QatajQadaI,jQ,DE
167,ATATSCHERTADEU,QatatS6tadOY,tS6,DE
168,ATÄHNADEU,QatE:nadOY,E:n,DE
169,ATAGGERTADEU,Qatag6tadOY,g6,DE
170,ATAWCHADAI,QatavxadaI,vx,DE
171,ADAHWADAI,Qada:vadaI,a:v,DE
172,ADAHSCHADAI,Qada:Za:daI,a:Z,DE
173,ATAOTTADAU,QataOtadaU,aO,DE
174,ATIERADEU,Qati:RadEU,i:R,DE
175,ADUTTADEI,QadUtadaI,Ut,DE
176,ATANGLADEU,QataNla:daU,Nl,DE
177,PATÄHPFADAU,patE:pfa:daU,E:pf,DE
178,DATÜIEHTADEU,daty:i:tadOY,y:i:,DE
179,DATTERÖHTADEU,dat62:tadOY,62:,DE
180,ATAWSCHADAI,QatavSa:daI,vS,DE
181,GADISSADAI,ga:dIsadaI,*g,DE
182,PATOGGADAU,patOgadaU,Og,DE
183,PATASCHKADAU,pataZkadaU,Zk,DE
184,DATABUHTADEU,da:tabu:tadOY,bu:,DE
185,PATAJTSADAU,patajtsadaU,jts,DE
186,ATAMMADEU,Qatama:daU,am,DE
187,ADAI ADAU,QadaIQadaU,aIQ,DE
188,ATALATTADAU,QatalatadaU,la,DE
189,DATIEAHTADEU,dati:a:tadOY,i:a:,DE
190,ATABÖTTADAU,Qatab9tadaU,b9,DE
191,ATÜHADEU,QatYhadOY,Yh,DE
192,PATARTSADAU,pataRtsadaU,Rts,DE
193,ADISSADÖH,Qa:dIsad2:,2:*,DE
194,DATANÜHTADEU,da:tany:tadOY,ny:,DE
195,PATÜGGADAU,patYgadaU,Yg,DE
196,ATASCHMADEU,QataSma:daU,Sm,DE
197,DATAJÜHTADEU,da:tajy:tadOY,jy:,DE
198,ATASCHUTTADAU,QataZUtadaU,ZU,DE
199,DATAWEHTADEU,da:tave:tadOY,ve:,DE
200,ATAHATTADAU,QatahatadaU,ha,DE
201,ADOHSCHADAI,Qado:Sa:daI,o:S,DE
202,ATAKÖTTADAU,Qatak9tadaU,k9,DE
203,ATANG ADAI,QataNQadaI,NQ,DE
204,DATAGEHTADEU,da:ta:ge:tadOY,ge:,DE
205,PATASCHTSCHADAU,pataZtSadaU,ZtS,DE
206,DATALAHTADEU,datala:tadOY,la:,DE
207,ADOHSADEI,Qado:zadaI,o:z,DE
208,PATTECHFADAU,patECfa:daU,Cf,DE
209,PATASCHTSADAU,pataZtsadaU,Zts,DE
210,ATAHWADAI,QatahvadaI,hv,DE
211,ATASCHITTADAU,QataSItadaU,SI,DE
212,DATAAUHTADEU,da:ta:u:tadOY,a:u:,DE
213,ATASÄTTADAU,QatasEtadaU,sE,DE
214,ATAFÜTTADAU,QatafYtadaU,fY,DE
215,ATTECHSADAI,Qat@CzadaI,Cz,DE
216,DATOOÖHTADEU,dto:2:tadOY,o:2:,DE
217,ATAFUTTADAU,QatafUtadaU,fU,DE
218,ATAPFHADEU,QatapfhadOY,pfh,DE
219,ADÄBBADAI,QadEba:daI,Eb,DE
220,ATÄHUTTADAU,QatE:UtadaU,E:U,DE
221,ATEUATTADAU,QatOYatadaU,OYa,DE
222,ADAUSADAI,QadaUsadaI,aUs,DE
223,ATA ÄTTADAU,Qata:QEtadaU,QE,DE
224,ATATSCH ADAI,QatatSQadaI,tSQ,DE
225,DATUOHTADEU,datu:o:tadOY,u:o:,DE
226,PATAMTSADAU,patamtsadaU,mts,DE
227,ATAIÜTTADAU,QataIYtadaU,aIY,DE
228,ATOHRADEU,Qato:RadoY,o:R,DE
229,ATADSCHADAI,QatadSadaI,dS,DE
230,PATACHFADAU,pataxfa:daU,xf,DE
231,ADISSADAP,Qa:dIsadap,p*,DE
232,ATAPFITTADAU,QatapfItadaU,pfI,DE
233,ATEURADEU,QatOYRadOY,OYR,DE
234,ATADDETADEU,Qatad@tadOY,d@,DE
235,ATATZEITADEU,QatatsaItadOY,tsaI,DE
236,DATATAHTADEU,datata:tadOY,ta:,DE
237,DATALÄHTADEU,datalE:tadOY,lE:,DE
238,DATEEAHTADEU,da:te:a:tadOY,e:a:,DE
239,DATEUIEHTADEU,da:tOYi:tadOY,OYi:,DE
240,ATATSCHAUTADEU,QatatSaUtadOY,tSaU,DE
241,DATAMÜHTADEU,da:tamy:tadOY,my:,DE
242,ATAHCHADEU,Qata:xadOY,a:x,DE
243,ATÜJJADEU,QatYja:daU,Yj,DE
244,PATATGADAU,pata:tgadaU,tg,DE
245,DATASCHIEHTADEU,dataZi:tadOY,Zi:,DE
246,ATTECHÜTTADAU,QatECYtadaU,CY,DE
247,PATANTSADAU,patantsadaU,nts,DE
248,ATAHÜTTADAU,QatahYtadaU,hY,DE
249,ATASCHJADEU,QataSja:daU,Sj,DE
250,ATTEJADEU,Qat@ja:daU,@j,DE
251,ATÖLLADEU,Qat9la:daU,9l,DE
252,DATANGÜHTADEU,dataNy:tadOY,Ny:,DE
253,ATÜÖTTADAU,Qaty:9tadaU,y:9,DE
254,ATALRADEU,QatalRadOY,lR,DE
255,ATATEUTADAU,QatatOYtadaU,tOY,DE
256,ATAUJADEU,QataUja:daU,aUj,DE
257,ATANÜTTADAU,QatanYtadaU,nY,DE
258,ATAPWADAI,QatapvadaI,pv,DE
259,ADAHTZADAI,Qada:tsadaI,a:ts,DE
260,ATAPFCHADEU,QatapfxadOY,pfx,DE
261,ATTÖERDADEU,Qat96da:daU,96,DE
262,ATACHJADEU,Qataxja:daU,xj,DE
263,ATAPNADEU,QatapnadOY,pn,DE
264,DATÄÜHTADEU,datEy:tadOY,Ey:,DE
265,ATAJLADEU,Qatajla:daU,jl,DE
266,ATAJÖTTADAU,Qataj9tadaU,j9,DE
267,ATAPCHADAI,QatapxadaI,px,DE
268,DATAWÜHTADEU,da:tavy:tadOY,vy:,DE
269,ATA ÖHTADEU,QataQ2:tadOY,Q2:,DE
270,ATÄMMADEU,QatEma:daU,Em,DE
271,ADIETADAI,Qadi:tadaI,i:t,DE
272,PATAWGADAU,patavgadaU,vg,DE
273,ATAFMADEU,Qatafma:daU,fm,DE
274,ATAWUTTADAU,QatavUtadaU,vU,DE
275,ATÖHLADEU,Qat2:la:daU,2:l,DE
276,ATATRADEU,QatatRadOY,tR,DE
277,DATABEHTADEU,da:tabe:tadOY,be:,DE
278,ADÄHSADAI,QadE:sadaI,E:s,DE
279,ATA AITANEU,QataQaItanOY,QaI,DE
280,ADATSCHADAI,QadatSadaI,atS,DE
281,PATOHFADAU,pato:fa:daU,o:f,DE
282,ADODDADAI,QadOdadaI,Od,DE
283,ATAPFTSADAI,QatapftsadaI,pfts,DE
284,DATAEHTADEU,datae:tadOY,ae:,DE
285,PATICKADAU,patIkadaU,Ik,DE
286,DATEUOHTADEU,da:tOYo:tadOY,OYo:,DE
287,PATARGADAU,pataRgadaU,Rg,DE
288,ATTEHADEU,Qat@hadOY,@h,DE
289,APAKSADAI,QapaksadaI,ks,DE
290,ADÖTSCHADAI,Qad9tSadaI,9tS,DE
291,PATAUFADAU,patQaUfQadaU,aUf,DE
292,DATASCHÖHTADEU,dataZ2:tadOY,Z2:,DE
293,ATTERLADEU,Qat6la:daU,6l,DE
294,ADÄTTADAI,QadEtadaI,Et,DE
295,ADUHSCHADAI,Qadu:ZadaI,u:Z,DE
296,ATAFITTADAU,QatafItadaU,fI,DE
297,DATASUHTADEU,datasu:tadOY,su:,DE
298,ATABDADAI,QatabdadaI,bd,DE
299,PATÖHPFADAU,pat2:pfa:daU,2:pf,DE
300,ATTECHEUTADEU,QatECOYtadOY,COY,DE
301,ATAKPADAI,QatakpadaI,kp,DE
302,ATATZPADAI,QatatspadaI,tsp,DE
303,ATANOTTADAU,QatanOtadaU,nO,DE
304,ATAJHADEU,QatajhadOY,jh,DE
305,ATAPFEUTADEU,QatapfOYtadOY,pfOY,DE
306,ATAGITTADAU,QatagItadaU,gI,DE
307,PATAIKADAU,pataIkadaU,aIk,DE
308,ADAWWADAI,QadavadaI,av,DE
309,ADAIBADAU,QadaIba:daU,aIb,DE
310,ADEEBADAI,Qade:ba:daI,e:b,DE
311,DATALIEHTADEU,datali:tadOY,li:,DE
312,ATTERÜTTADAU,Qat6YtadaU,6Y,DE
313,ATAUERTADEU,QataU6tadOY,aU6,DE
314,ADOHDADAI,Qado:dadaI,o:d,DE
315,ATAKEUTADAU,Qata:kOYtadaU,kOY,DE
316,ATTECHATTADAU,QatECatadaU,Ca,DE
317,ATANJADEU,Qatanja:daU,nj,DE
318,ATÖHRADEU,Qat2:RadOY,2:R,DE
319,ADI ADAI,QadIQadaI,IQ,DE
320,ATACHHADEU,QataxhadOY,xh,DE
321,PATALFADAU,patalfa:daU,lf,DE
322,ATÖHADEU,Qat9hadOY,9h,DE
323,PATÖCKADAU,pat9kadaU,9k,DE
324,PATOHGADAU,pato:gadaU,o:g,DE
325,ATTÖATTADAU,Qat9atadaU,9a,DE
326,ATARÜTTADAU,QataRYtadaU,RY,DE
327,ATÖNNADEU,Qat9nadOY,9n,DE
328,ATEHEDADEU,Qa:te:@da:daU,e:@,DE
329,ATIENADEU,Qati:nadOY,i:n,DE
330,ATAFOTTADAU,QatafOtadaU,fO,DE
331,ATAJSCHADAI,QatajSa:daI,jS,DE
332,PATAGTSADAU,patagtsadaU,gts,DE
333,ATASWADAI,QatasvadaI,sv,DE
334,ATAPFETADEU,Qatapf@tadOY,pf@,DE
335,ATANGSADAI,QataNzadaI,Nz,DE
336,ATARSADAI,QataRsadaI,Rs,DE
337,DATAJÄHTADEU,da:tajE:tadOY,jE:,DE
338,ATEUOTTADAU,QatOYOtadaU,OYO,DE
339,ADIESCHADAI,Qadi:ZadaI,i:Z,DE
340,ATAJUTTADAU,QatajUtadaU,jU,DE
341,ATA EUTANEU,QataQOYtanOY,QOY,DE
342,ATAMRADEU,QatamRadOY,mR,DE
343,ADISSADATSCH,Qa:dIsada:tS,tS*,DE
344,APADKADAU,QapadkadaU,dk,DE
345,ATATATTADAU,QatatatadaU,ta,DE
346,ADÜHPADAI,Qady:padaI,y:p,DE
347,ATATZNADEU,QatatsnadOY,tsn,DE
348,DATATZÄHTADEU,datatsE:tadOY,tsE:,DE
349,ATACHRADEU,QataxRadOY,xR,DE
350,ATAPFBADAI,Qatapfba:daI,pfb,DE
351,DATAWÄHTADEU,da:tavE:tadOY,vE:,DE
352,ATANEITADEU,QatanaItadOY,naI,DE
353,ADUTSCHADAI,QadUtSa:daI,UtS,DE
354,PATOHPFADAU,pato:pfa:daU,o:pf,DE
355,ATABSADAI,QatabzadaI,bz,DE
356,ATA ETTANEU,QataQ@tanOY,Q@,DE
357,ATTERSADAI,Qat6sadaI,6s,DE
358,ATADJADEU,QatadjadOY,dj,DE
359,PATASCHGADAU,pataSgadaU,Sg,DE
360,MADISADAI,ma:dizadaI,*m,DE
361,ADAISCHADEU,QadaISa:dOY,aIS,DE
362,ATANGBADAI,QataNba:daI,Nb,DE
363,ATATSCHLADEU,QatatSla:daU,tSl,DE
364,ADEUSADAI,QadOYsadaI,OYs,DE
365,DATAHÄHTADEU,da:tahE:tadOY,hE:,DE
366,ADÖHTSCHADAI,Qad2:tSa:daI,2:tS,DE
367,ADISSADAB,QadIsadab,b*,DE
368,ADEESCHADAI,Qade:ZadaI,e:Z,DE
369,ATAJRADEU,QatajRadOY,jR,DE
370,DATAPFUHTADEU,da:tapfu:tadOY,pfu:,DE
371,PATATZPFADAU,patatspfa:daU,tspf,DE
372,ATANGEITADEU,QataNaItadOY,NaI,DE
373,DATACHIEHTADEU,da:taxi:tadOY,xi:,DE
374,DATAIOHTADEU,da:taIo:tadOY,aIo:,DE
375,ATÄÖTTADAU,QatE9tadaU,E9,DE
376,ATAPUTTADAU,QatapUtadaU,pU,DE
377,ADIECHADAI,Qadi:CadaI,i:C,DE
378,ATASCHITTADAU,QataZItadaU,ZI,DE
379,DATEUÄHTADEU,da:tOYE:tadOY,OYE:,DE
380,ATACHADAI,QatahCadaI,hC,DE
381,ATASCHÜTTADAU,QataZYtadaU,ZY,DE
382,ATAIHADEU,QataIhadOY,aIh,DE
383,DATÖUHTADEU,dat2:u:tadOY,2:u:,DE
384,ADISSADACH,Qa:dIsadax,x*,DE
385,ATATÜTTADAU,QatatYtadaU,tY,DE
386,ATATÖTTADAU,Qatat9tadaU,t9,DE
387,ADUHTADAI,Qadu:tadaI,u:t,DE
388,DATASÖHTADEU,datas2:tadOY,s2:,DE
389,ATAHITTADAU,QatahItadaU,hI,DE
390,ATAUNADEU,QataUnadOY,aUn,DE
391,ADÜPPADAI,QadYpadaI,Yp,DE
392,ATTECHUTTADAU,QatECUtadaU,CU,DE
393,DATASAHTADEU,datasa:tadOY,sa:,DE
394,ADAHSADAI,Qada:zadaI,a:z,DE
395,ATIRRADEU,QatIRadOY,IR,DE
396,ATAGGETADEU,Qatag@tadOY,g@,DE
397,ATUHHADEU,Qatu:hadOY,u:h,DE
398,PATÄHGADAU,patE:gadaU,E:g,DE
399,DATAHOHTADEU,da:taho:tadOY,ho:,DE
400,ADÖHDADAI,Qad2:dadaI,2:d,DE
401,ATAUÜTTADAU,QataUYtadaU,aUY,DE
402,ADITZADAI,QadItsadaI,Its,DE
403,DATAKEHTADEU,da:ta:ke:tadOY,ke:,DE
404,DATAMEHTADEU,da:tame:tadOY,me:,DE
405,ATTECHSADAI,QatECsadaI,Cs,DE
406,PATEUGADAU,patOYgadaU,OYg,DE
407,ATAINADEU,QataInadOY,aIn,DE
408,ATAB ADAI,QatabQadaI,bQ,DE
409,DATALÜHTADEU,dataly:tadOY,ly:,DE
410,ATABTSCHADAU,QatabtSadaU,btS,DE
411,CHADISADAI,xadisadaI,*x,DE
412,ATIEATTADAU,Qati:atadaU,i:a,DE
413,ATATSCHSADAI,QatatSsadaI,tSs,DE
414,DATTERÄHTADEU,dat6E:tadOY,6E:,DE
415,ATAPFATTADAU,QatapfatadaU,pfa,DE
416,ATARÖTTADAU,QataR9tadaU,R9,DE
417,ATACHOTTADAU,QataxOtadaU,xO,DE
418,ATTECHPADAI,QatECpadaI,Cp,DE
419,APAKHADEU,QapakhadOY,kh,DE
420,PATAMGADAU,patamgadaU,mg,DE
421,ATTECHNADEU,QatECnadOY,Cn,DE
422,ATÄHRADEU,QatE:RadOY,E:R,DE
423,DATIEUHTADEU,dati:u:htadOY,i:u:,DE
424,ADÄ ADAI,QadEQadaI,EQ,DE
425,ATALLETADEU,Qatal@tadOY,l@,DE
426,ATABSCHADAI,QatabSadaI,bS,DE
427,ATÜATTADAU,QatYatadaU,Ya,DE
428,ATARTADAI,QataRtadaI,Rt,DE
429,ATAJCHADAI,QatajCadaI,jC,DE
430,PATUFFADAU,patUfa:daU,Uf,DE
431,ATASÜTTADAU,QatasYtadaU,sY,DE
432,DATATZÖHTADEU,datats2:tadOY,ts2:,DE
433,ADÜ ADAI,QadYQadaI,YQ,DE
434,PATAJKADAU,patajkadaU,jk,DE
435,DATAPFÜHTADEU,da:tapfy:tadOY,pfy:,DE
436,ATADÜTTADAU,QatadYtadaU,dY,DE
437,ATAROTTADAU,QataROtadaU,RO,DE
438,ATUHNGADEU,Qatu:NadOY,u:N,DE
439,ATEEITTADAU,Qate:ItadaU,e:I,DE
440,DATAJEHTADEU,da:taje:tadOY,je:,DE
441,ATATSCHUTTADAU,QatatSUtadaU,tSU,DE
442,ATACHNADEU,QataxnadOY,xn,DE
443,ATAJWADAI,QatajvadaI,jv,DE
444,ATARUTTADAU,QataRUtadaU,RU,DE
445,ATADHADEU,QatadhadOY,dh,DE
446,DATAHÜHTADEU,da:tahy:tadOY,hy:,DE
447,ADISSADEH,Qa:dIsade:,e:*,DE
448,ATTEUTTADAU,Qat@UtadaU,@U,DE
449,ATATITTADAU,QatatItadaU,tI,DE
450,ATAKAUTADEU,QatakaUtadOY,kaU,DE
451,ATATHADEU,QatathadOY,th,DE
452,ATAD ADAI,QatadQadaI,dQ,DE
453,ADUDDADAI,QadUdadaI,Ud,DE
454,ATASITTADAU,QatazItadaU,zI,DE
455,DATANGIEHTADEU,dataNi:tadOY,Ni:,DE
456,ATABCHADEU,QatabxadOY,bx,DE
457,ATAHÄTTADAU,QatahEtadaU,hE,DE
458,ATATZSCHADAI,QatatsZadaI,tsZ,DE
459,ATTEITTADAU,Qat@ItadaU,@I,DE
460,DATANUHTADEU,da:tanu:tadOY,nu:,DE
461,DATARAHTADEU,dataRa:tadOY,Ra:,DE
462,ADOSSADAI,QadOsadaI,Os,DE
463,ATUÖTTADAU,Qatu:9tadaU,u:9,DE
464,ADÜBBADAI,QadYbadaI,Yb,DE
465,ATAHNADEU,Qata:nadOY,a:n,DE
466,ADISSADANG,Qa:dIsadaN,N*,DE
467,ATAUOTTADAU,QataUOtadaU,aUO,DE
468,ATACHSADAI,QataxsadaI,xs,DE
469,ADISSADIEH,Qa:dIsadi:,i:*,DE
470,SCHADISADAI,Sa:dizadaI,*S,DE
471,ATAIÖTTADAU,QataI9tadaU,aI9,DE
472,ATÖJJADEU,Qat9jadOY,9j,DE
473,ATAREITADEU,QataRaItadOY,RaI,DE
474,ADAIPADAU,QadaIpadaU,aIp,DE
475,ATEENGADEU,Qate:NadOY,e:N,DE
476,PATARFADAU,pataRfadaU,Rf,DE
477,DATAÜHTADEU,da:tay:tadOY,ay:,DE
478,DATTECHAHTADEU,da:tECa:tadOY,Ca:,DE
479,DATAMÄHTADEU,da:tamE:tadOY,mE:,DE
480,ATASCHRADEU,QataSRadOY,SR,DE
481,ATÖHCHADEU,Qat2:CadOY,2:C,DE
482,ADÄPPADAI,QadEpadaI,Ep,DE
483,ADÄDDADAI,QadEdadaI,Ed,DE
484,ADOTZADAI,QadOtsadaI,Ots,DE
485,ADOSADAI,QadOzadaI,Oz,DE
486,ATASCHERTADEU,QataS6tadOY,S6,DE
487,ATÜHJADEU,Qaty:ja:daU,y:j,DE
488,ATAAERDADEU,Qata:6da:daU,a:6,DE
489,ATTERSADAI,Qat6zadaI,6z,DE
490,ATASCHSCHADAI,QataZSa:daI,ZS,DE
491,ATASCHÄTTADAU,QataSEtadaU,SE,DE
492,ATADÄTTADAU,QatadEtadaU,dE,DE
493,DATOOIEHTADEU,dato:i:tadOY,o:i:,DE
494,ATTEOTTADAU,Qat@OtadaU,@O,DE
495,ATASCHSSADAI,QataZsadaI,Zs,DE
496,ADUSCHADAI,QadUZa:daI,UZ,DE
497,ATATZATTADAU,QatatsatadaU,tsa,DE
498,DATÄUHTADEU,datEu:tadOY,Eu:,DE
499,ADISSADEU,Qa:dIsadOY,OY*,DE
500,ATATBADAI,Qata:tba:daI,tb,DE
